0,1,2,3
39,Rod Wave,Come See Me,368610
40,CH4YN,WASTED (ELY OAKS & CH4YN REMIX),361301
41,Nawal,مخصماك,361239
42,Ken Carson,Hardcore,357993
43,ɤ A H M E D ɤ,Maha Ftouni El Sabr Gamil مها فتوني الصبر جميل,355298
44,octobersveryown,Drake - Rich Baby Daddy (feat. Sexyy Red & SZA),353014
45,Murda B,SUICIDAL IDOL - ecstasy (slowed),345474
46,Mitski,My Love Mine All Mine,343496
47,Xylans Amjad,"الغل مني هاريكو ""محمود الليثي"" [official] ✪",340799
48,Rod Wave,HG4,337939
49,Ken Carson,Rockstar Lifestyle,334588
50,Ken Carson,Vampire Hour,332750
